window,gaussian_id,affected_bR,bR_total,A_n,A_c,A_opportunity,D_opportunity,A_support,D_support,A_cap,D_cap,A_G0,D_G0,A_simple,D_simple,A_oac,D_oac,delta_G0,delta_simple,delta_OAC,delta_OAC_minus_delta_G0,A_low_evidence,D_low_evidence,A_OAC_above_threshold,D_OAC_above_threshold,A_OAC_topK,D_OAC_topK
W1,22084,0,0.0,68.0,58.0,57.0,57.0,47,47,0,0,0.00019216339074893331,0.00019216114365502366,0.0002991414447560212,0.00029913912649653896,0.0002268158054741508,0.00022681315316658532,-2.247093909655152e-09,-2.318259482222019e-09,-2.652307565470611e-09,-4.05213655815459e-10,0,0,0,0,0,0
W1,22232,0,0.0,62.0,55.0,53.00224730262861,53.00224730262861,46,46,0,0,0.0005628160722259904,0.0005628160722259904,0.0008079810620390518,0.0008079810620390518,0.0006516560754123535,0.0006516560754123535,0.0,0.0,0.0,0.0,0,0,1,1,1,1
W1,22817,0,0.0,88.0,75.0,51.571217093118186,51.571217093118186,46,46,0,0,0.00015947499579098033,0.00015947499579098033,0.00037481101493589547,0.00037481101493589547,0.0002640161648463715,0.0002640161648463715,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,24746,1,0.02376447431743145,100.0,97.0,81.79224804953417,81.79224804953417,74,74,0,0,0.00031637513527519104,0.00031605542416789605,0.0005159857256590506,0.0005155990117828732,0.00038351966310082634,0.0003831320994699085,-3.1971110729499133e-07,-3.867138761773619e-07,-3.8756363091783886e-07,-6.785252362284753e-08,0,0,0,0,0,0
W1,26791,1,6.557884717039997e-06,100.0,91.0,81.59631801884217,81.59631801884217,70,70,0,0,2.7286899852319023e-07,2.7283665325728015e-07,6.578234771617291e-07,6.578229555609754e-07,3.3153734299838573e-07,3.3149804332133764e-07,-3.2345265910076205e-11,-5.216007536550172e-13,-3.929967704808964e-11,-6.954411138013437e-12,0,0,0,0,0,0
W1,27570,0,0.0,83.0,75.0,65.0,65.0,53,53,0,0,4.6947824836917636e-05,4.6947824836917636e-05,6.20977811238731e-05,6.20977811238731e-05,5.919508349002659e-05,5.919508349002659e-05,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,27797,1,0.4823372960090637,97.0,69.0,55.80132072046003,55.80132072046003,45,45,0,0,5.03098254638357e-05,4.9038558147906e-05,0.00021477463296732733,0.00020818470668205213,8.496956773914403e-05,8.282249143109569e-05,-1.2712673159297018e-06,-6.589926285275195e-06,-2.1470763080483454e-06,-8.758089921186436e-07,0,0,0,0,0,0
W1,28253,0,0.0,93.0,74.0,57.0,57.0,46,46,0,0,0.0001661151307573152,0.0001661151307573152,0.0003548229199025416,0.0003548229199025416,0.0002641502898927799,0.0002641502898927799,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,28369,0,0.0,66.0,61.0,56.97479867744323,56.97479867744323,47,47,0,0,0.0006329181160199318,0.0006329181160199318,0.000924227382718896,0.000924227382718896,0.0007265996621942923,0.0007265996621942923,0.0,0.0,0.0,0.0,0,0,1,1,1,1
W1,29154,0,0.0,64.0,56.0,53.0,53.0,45,45,0,0,0.00014620428880285363,0.0001462042886891668,0.00023988856192689404,0.00023988856180182086,0.00017441915155428153,0.00017441915141865513,-1.1368683772161603e-13,-1.2507318314716742e-13,-1.3562640051832664e-13,-2.193956279671061e-14,0,0,0,0,0,0
W1,29903,1,0.45381543040275574,97.0,61.0,42.80808995912966,42.80808995912966,36,36,1,1,8.094652418665783e-06,7.534883389259557e-06,3.440164728234658e-05,2.9998506156278755e-05,1.6189304837331566e-05,1.5069766778519115e-05,-5.597690294062255e-07,-4.4031411260678276e-06,-1.119538058812451e-06,-5.597690294062255e-07,0,0,0,0,0,0
W1,31048,1,0.00012963969493284822,97.0,61.0,52.0,52.0,43,43,0,0,5.3519178632704786e-05,5.351088804467655e-05,0.00016875528002100043,0.0001687549369738525,9.652566146255685e-05,9.651070879486306e-05,-8.29058802823303e-09,-3.430471479256257e-10,-1.4952667693786262e-08,-6.662079665553232e-09,0,0,0,0,0,0
W1,31523,0,0.0,98.0,64.0,53.0,53.0,44,44,0,0,0.0003449229199426485,0.0003449229193481127,0.0011198200379664957,0.0011198200357175594,0.0006172304883184235,0.0006172304872545175,-5.945357595994738e-13,-2.248936280258018e-12,-1.063906016236793e-12,-4.693702566373192e-13,0,0,1,1,1,1
W1,31704,0,0.0,96.0,70.0,56.86728745327553,56.86728745327553,48,48,0,0,5.509461383296778e-05,5.509461398455023e-05,0.00013455708537583457,0.00013455708573732386,9.05159670130871e-05,9.051596726212472e-05,1.515824548129971e-13,3.6148929444430877e-13,2.490376204951697e-13,9.745516568217261e-14,0,0,0,0,0,0
W1,31880,1,0.047881320118904114,82.0,77.0,60.802707307977094,60.802707307977094,54,54,0,0,0.0006403040487491965,0.0006401262861907456,0.0010990555911222731,0.001098905795163257,0.000849750735424172,0.0008495148258354857,-1.7776255845092237e-07,-1.4979595901621484e-07,-2.3590958868628577e-07,-5.8147030235363405e-08,0,0,1,1,1,1
W1,32479,0,0.0,100.0,96.0,71.54829016726745,71.54829016726745,63,63,0,0,3.507765570231136e-05,3.507765570231136e-05,5.574070185880755e-05,5.574070187670953e-05,4.8288004731323104e-05,4.8288004731323104e-05,0.0,1.7901980353847435e-14,0.0,0.0,0,0,0,0,0,0
W1,34499,0,0.0,94.0,71.0,55.41420525855595,55.41420525855595,51,51,0,0,2.2207663327965106e-05,2.2207663327965106e-05,5.9087573143758594e-05,5.9087573143758594e-05,3.663014588295237e-05,3.663014588295237e-05,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,34962,0,0.0,70.0,64.0,60.14167192728223,60.14167192728223,53,53,0,0,8.764248098498406e-05,8.764248098498406e-05,0.000114620960567953,0.000114620960567953,0.00010111279294748533,0.00010111279294748533,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,36209,1,0.1587916612625122,100.0,97.0,76.18922746000419,76.18922746000419,68,68,0,0,6.0044695216984746e-05,5.992916728913833e-05,0.00010113113804438253,0.00010100151337930671,7.787390526590425e-05,7.772407336358271e-05,-1.1552792784641903e-07,-1.2962466507582173e-07,-1.498319023215402e-07,-3.430397447512116e-08,0,0,0,0,0,0
W1,36375,0,0.0,91.0,81.0,67.99056996948512,67.99056996948512,56,56,0,0,0.0001307293618460181,0.00013072936151510822,0.00021685345967905015,0.00021685345962667825,0.0001725127246615206,0.00017251272422484615,-3.3090988716538705e-13,-5.2371898050934673e-14,-4.366744325075972e-13,-1.0576454534221014e-13,0,0,0,0,0,0
W1,37032,0,0.0,18.0,15.0,14.0,14.0,13,13,0,0,0.00021514825748234243,0.00021514825586546295,0.00034940942147501457,0.0003494094186650404,0.0002629589813673074,0.0002629589793911214,-1.6168794818652299e-12,-2.8099741500656195e-12,-1.976185979180728e-12,-3.59306497315498e-13,0,0,0,0,0,0
W1,39126,0,0.0,10.0,10.0,10.0,10.0,8,8,0,0,0.0006140065001090988,0.0006140065001090988,0.0006301055147001214,0.0006301055147001214,0.0006140065001090988,0.0006140065001090988,0.0,0.0,0.0,0.0,0,0,1,1,1,1
W1,39240,0,0.0,71.0,66.0,57.0,57.0,50,50,0,0,9.292608437660843e-05,9.292608437660843e-05,0.00014252452949427695,0.00014252452949427695,0.00011425338243025626,0.00011425338243025626,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,39447,0,0.0,12.0,12.0,12.0,12.0,9,9,0,0,0.00033460469846128643,0.00033460469846128643,0.00034452210315765835,0.00034452210315765835,0.00033460469846128643,0.00033460469846128643,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,39868,0,0.0,13.0,13.0,13.0,13.0,10,10,0,0,0.0005855887127556623,0.0005855887127556623,0.0006698752521351134,0.0006698752521351134,0.0005855887127556623,0.0005855887127556623,0.0,0.0,0.0,0.0,0,0,0,0,1,1
W1,40902,0,0.0,24.0,24.0,22.0,22.0,18,18,0,0,0.0005048855635862992,0.0005048855635862992,0.0006199617671908688,0.0006199617671908688,0.0005437229146313991,0.0005437229146313991,0.0,0.0,0.0,0.0,0,0,0,0,1,1
W1,41417,0,0.0,75.0,69.0,60.78927146679599,60.78927146679599,54,54,0,0,0.0004389635535565617,0.0004389801797987995,0.0006389055849419769,0.0006389235243259914,0.0005352448012745545,0.0005352650742782022,1.6626242237789343e-08,1.7939384014528312e-08,2.02730036477812e-08,3.6467614099918583e-09,0,0,0,0,0,0
W1,41514,0,0.0,77.0,72.0,62.11182846412065,62.11182846412065,54,54,0,0,0.00024751734615712043,0.0002475173457791486,0.0004542378962390085,0.00045423789572169345,0.00030325745792384844,0.00030325745746075854,-3.7797185086646534e-13,-5.173150319573439e-13,-4.630899071329797e-13,-8.511805626651436e-14,0,0,0,0,0,0
W1,42316,0,0.0,86.0,77.0,64.96708647983606,64.96708647983606,56,56,0,0,0.00017234723259595963,0.00017234723259595963,0.00033393169095560646,0.00033393169095560646,0.00022490802099014867,0.00022490802099014867,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,42964,1,0.5793280601501465,95.0,75.0,68.0060276218169,68.0060276218169,55,55,0,0,5.515110358472391e-05,5.397076773578515e-05,0.00012721363879653722,0.00012459321445471475,7.582641947093565e-05,7.420359353671437e-05,-1.1803358489387598e-06,-2.6204243418224754e-06,-1.6228259342212766e-06,-4.4249008528251675e-07,0,0,0,0,0,0
